circRNA,disease,miRNA
hsa_circ_0005795/hsa_circRNA_100823,Basal cell carcinoma,miR-630
hsa_circ_0005795/hsa_circRNA_100823,Breast cancer,unknown
circ_VPS37C,Temporal Lobe Epilepsy,unknown
hsa_circ_0022342,chronic thromboembolic pulmonary hypertension,unknown
hsa_circ_0022383/hsa_circRNA_100833,Basal cell carcinoma,"miR-653-5p, miR-339-5p, miR-330-5p, miR-595, miR-629-3p"
hsa_circ_0022383/hsa_circRNA_100833,Non-small cell lung cancer,unknown
hsa_circ_0022392/hsa_circRNA_100834,Basal cell carcinoma,unknown
hsa_circ_0000317,Systemic lupus erythematosus,unknown
hsa_circ_0000317,Tongue squamous cell carcinoma,unknown
hsa_circ_0000320,Triple negative breast cancer,unknown
hsa_circ_0021001,Intracranial aneurysms,unknown
hsa_circ_0022812,Lung cancer,unknown
hsa_circ_0002082,Hepatocellular carcinoma,unknown
hsa_circ_0096157,Lung cancer,unknown
hsa_circ_0000326,Cervical cancer,unknown
hsa_circ_0000326,Lung cancer,unknown
circRNA_000543,Nasopharyngeal carcinoma,unknown
hsa_circ_0000328,Renal cell carcinoma,unknown
hsa_circ_0022935,Colon cancer,unknown
hsa_circ_0092306,Lung cancer,unknown
hsa_circ_0092306,Gastric cancer,unknown
hsa_circ_0023028,Laryngeal cancer,"miR-302a-3p, miR-103a-2-5p, miR-520d-3p, miR-373-3p, miR-302c-3p"
hsa_circ_0023064,Colon cancer,unknown
hsa_circ_0023110,Hepatoblastoma,unknown
hsa_circ_0023114,Hepatoblastoma,unknown
hsa_circ_0023114,Melanoma,unknown
hsa_circ_0023115,Ovarian endometriosis,unknown
hsa_circ_0023117,Hepatoblastoma,unknown
hsa_circ_0023302,Breast cancer,unknown
hsa_circ_0023302,Non-small cell lung cancer,"hsa-miR-765, hsa-miR-6804-3p, hsa-miR-8085, hsa-miR-6731-5p, hsa-miR-6878-5p"
hsa_circ_0023303,Laryngeal cancer,unknown
hsa_circ_0023313,Non-obstructive azoospermia,unknown
hsa_circ_0000337,Esophageal cancer,unknown
hsa_circ_0000337,Osteosarcoma,unknown
hsa_circ_0023404,Cervical cancer,unknown
hsa_circRNA_100876,Esophageal cancer,unknown
hsa_circ_0023404/circRNA_100876/circ-CER,Non-small cell lung cancer,unknown
hsa_circ_0023404,Osteoarthritis,unknown
hsa_circ_0000338,Colorectal cancer,unknown
hsa_circ_0023642,Gastric cancer,unknown
hsa_circ_0023642,Bladder cancer,unknown
hsa_circ_0023706,Radiation-induced liver disease,unknown
hsa_circ_0004831,Inflammatory response,unknown
hsa_circ_0000345,Atherosclerosis,unknown
hsa_circ_0023826,Glaucoma,unknown
hsa_circ_0020707,Breast cancer,unknown
hsa_circ_0021086,Aortic valve calcification,unknown
hsa_circ_0021087,Gastric cancer,"hsa-miR-184, hsa-miR-1276, hsa-miR-450b-3p"
hsa_circ_0023858,Idiopathic pulmonary fibrosis,unknown
hsa_circ_0020710,Melanoma,unknown
hsa_circ_0023903,Moyamoya disease,unknown
hsa_circ_0023919,Bladder cancer,unknown
hsa_circ_0023942,Polycystic ovary syndrome,unknown
hsa_circ_0023956,Active pulmonary tuberculosis,unknown
hsa_circ_0020732,Lung cancer,unknown
hsa_circ_0021093,Hepatocellular carcinoma,unknown
hsa_circ_0023984,Clear cell renal cell carcinoma,unknown
hsa_circ_0023984,Infantile hemangioma,unknown
hsa_circ_0023990,Colorectal cancer,unknown
hsa_circ_0024002,Chronic myeloid leukemia,unknown
circAmotl1/hsa_circ_0004214,Breast cancer,c-myc
circAmotl1/hsa_circ_0004214,Cervical cancer,c-myc
circAmotl1/hsa_circ_0004214,Glioblastoma,c-myc
circAmotl1/hsa_circ_0004214,Lung cancer,c-myc
circAmotl1/hsa_circ_0004214,Prostate cancer,unknown
hsa_circ_0007294,Colorectal cancer,unknown
hsa_circ_0007294,Prostate cancer,unknown
hsa_circ_0007294,Triple negative breast cancer,unknown
circSCYL2,Breast cancer,unknown
circRNA666,Esophageal cancer,unknown
hsa_circ_0006260,Bladder cancer,unknown
chr12:10539502–10546466,Acute ischemic stroke,unknown
hsa_circ_01619,Endometrial cancer,unknown
hsa_circ_01619,Glioblastoma,unknown
hsa_circ_01619,Hypertension,unknown
hsa_circ_0097271,Bladder cancer,unknown
hsa_circ_0028171,Osteosarcoma,unknown
hsa_circ_0028173,Bladder cancer,unknown
hsa_circ_0028173,Osteosarcoma,unknown
hsa_circ_0005785,Hepatocellular carcinoma,unknown
hsa_circ_0005785,Pancreatic cancer,unknown
hsa_circ_0028198,Abdominal aortic aneurysm,unknown
hsa_circ_0000376,Non-small cell lung cancer,unknown
hsa_circ_0000376,Gastric cancer,unknown
hsa_circ_0000376,Breast cancer,unknown
hsa_circ_0097391,Steroid-induced osteonecrosis of the femoral head,unknown
hsa_circ_0097435,Heart failure,unknown
hsa_circ_0028502,Hepatocellular carcinoma,unknown
hsa_circ_0003176,Lung cancer,unknown
hsa_circ_0000442,Breast cancer,unknown
hsa_circ_0000448,Temporomandibular joint osteoarthritis,unknown
hsa_circ_0028882,Postmenopausal Osteoporosis,unknown
hsa_circ_0028883,Tuberculosis,unknown
hsa_circ_005086,Glioblastoma,unknown
hsa_circ_005086,Tuberculosis,unknown
hsa_circ_0002179,Breast cancer,unknown
hsa_circ_0029067,Facet joint osteoarthritis,unknown
hsa_circ_0097636,Polycystic ovary syndrome,unknown
hsa_circ_0008932,Intervertebral disc degeneration,"miR-765, miR-7160-5p, miR-6797-5p, miR-1249-5p, miR-4663"
hsa_circ_0002510,Oral mucosal melanoma,unknown
hsa_circ_0000378/hsa_circ_000007,Acute pancreatitis,unknown
hsa_circ_0000378/hsa_circ_000007,Primary great saphenous vein varicosities,unknown
hsa_circ_0005082,Non-small cell lung cancer,unknown
hsa_circ_0003855,Gastric cancer,unknown
hsa_circ_006100,Gastric cancer,unknown
hsa_circ_0029407,Acute pancreatitis,unknown
hsa_circ_0025508,Hepatocellular carcinoma,unknown
hsa_circ_0029426,Glioblastoma,unknown
hsa_circ_0006903,Breast cancer,unknown
hsa_circ_0029589,Atherosclerosis,"miR-214, miR-424-5p, miR-214-3p"
hsa_circ_02599,Glioblastoma,unknown
hsa_circ_0097977,Proliferative diabetic retinopathy,unknown
circRNA9652,Esophageal cancer,unknown
hsa_circ_0025580,Esophageal cancer,unknown
hsa_circ_0025580,Lung cancer,unknown
hsa_circ_0007478,Atherosclerosis,unknown
hsa_circ_0000384,Gastric cancer,unknown
hsa_circ_0000374,Colorectal cancer,unknown
hsa_circ_0025033,Papillary thyroid carcinoma,unknown
hsa_circ_0025033,Lung cancer,unknown
hsa_circ_0025033,Non-small cell lung cancer,unknown
hsa_circ_0025033,Ovarian cancer,unknown
hsa_circ_0025039,Non-small cell lung cancer,unknown
hsa_circ_0025039,Hepatocellular carcinoma,unknown
hsa_circ_0025039,Melanoma,unknown
hsa_circ_0000388,Cervical cancer,unknown
hsa_circ_0000392,Colorectal cancer,unknown
hsa_circRNA_4815,Breast cancer,unknown
hsa_circ_0025908,Oral mucosal melanoma,unknown
hsa_circ_0025933,Esophageal cancer,unknown
hsa_circ_0098619,Glioblastoma,unknown
hsa_circ_0000396,Rheumatoid arthritis,unknown
hsa_circ_0026070,Encephalitis,unknown
hsa_circ_0026134,Non-small cell lung cancer,unknown
hsa_circ_0026134,Hepatocellular carcinoma,unknown
hsa_circ_0026134,Ovarian cancer,unknown
hsa_circ_0026143,Ovarian endometriosis,unknown
hsa_circRNA_004582,Gastric cancer,unknown
hsa_circ_0009035,Cervical cancer,unknown
hsa_circ_0009035,Type 2 diabetes mellitus,unknown
hsa_circ_0026231,Esophageal cancer,unknown
circ_LARP4,Breast cancer,unknown
circ_LARP4,Gastric cancer,unknown
circ_LARP4,Hepatocellular carcinoma,unknown
circ_LARP4,Nasopharyngeal carcinoma,unknown
circ_-LARP4,Osteosarcoma,unknown
circ_LARP4,Ovarian cancer,unknown
circ_LARP4,Prostate cancer,unknown
hsa_circ_0026344,Colorectal cancer,"miR-21, miR-31"
circNR4A1,Breast cancer,unknown
hsa_circ_0026353,Uterine leiomyoma,unknown
hsa_circ_0026359,Gastric cancer,unknown
hsa_circ_0026372,Diabetes retinopathy,unknown
hsa_circ_0026388,Diabetes retinopathy,unknown
circKRT6A,Prostate cancer,unknown
circRNA9656,Esophageal cancer,unknown
hsa_circ_0026579,Pneumonia,unknown
hsa_circ_0002737,Steroid-induced osteonecrosis of the femoral head,unknown
hsa_circ_0000408,Lung cancer,unknown
hsa_circ_0027068,Glioblastoma,unknown
hsa_circ_0027089,Hepatocellular carcinoma,unknown
hsa_circ_0027345,Hepatocellular carcinoma,unknown
circRNA9658,Esophageal cancer,unknown
hsa_circ_0098964,Coronary artery disease,unknown
hsa_circ_0025129,Hepatocellular carcinoma,unknown
circRNAIFF01,PDLSC osteogenis,miR-106b
hsa_circ_0027446,Abdominal aortic aneurysm,unknown
hsa_circ_0025202,Breast cancer,unknown
hsa_circ_0000375,Glioblastoma,unknown
hsa_circ_0005505,Breast cancer,unknown
hsa_circ_0005505,Hepatocellular carcinoma,unknown
hsa_circ_0000414/hsa_circ_001951,Pulmonary tuberculosis,unknown
chr12:69044180–69048032,Acute ischemic stroke,unknown
hsa_circ_0000419,Ovarian endometriosis,miR-141-5p
hsa_circ_0000419,Gastric cancer,unknown
hsa_circ_0000419,Osteosarcoma,unknown
hsa_circ_0099188,Pneumonia,unknown
hsa_circ_0099198,Retinoblastoma,unknown
hsa_circ_0027599,Gastric cancer,unknown
hsa_circ_0008509,Colorectal cancer,unknown
hsa_circ_0000423,Colon cancer,unknown
hsa_circ_0025367,Intervertebral disc degeneration,"miR-6850-3p, miR-516b-5p, miR-6870-3p, miR-3137, miR-1257"
hsa_circ_0002375,Nasopharyngeal carcinoma,unknown
hsa_circ_0000426,Clear cell renal cell carcinoma,unknown
hsa_circ_0099476,Heart failure,unknown
chr12:94613792|94621011,Acute ischemic stroke,unknown
hsa_circ_0000429,Non-small cell lung cancer,unknown
hsa_circ_0027821,Age-related cataract,unknown
hsa_circ_0025454,Pterygium,unknown
hsa_circRNA_101252,Nasopharyngeal carcinoma,unknown
hsa_circ_0030777,Alzheimer's disease,unknown
hsa_circ_0000502,Hepatocellular carcinoma,unknown
hsa_circ_0000502,Osteosarcoma,unknown
hsa_circ_0007099,Gastric cancer,unknown
hsa_circ_0007031/hsa_circ_0000504,Colorectal cancer,"miR-556-5p, hsa-miR-521, hsa-miR-1204, hsa-miR-146b-3p, hsa-miR-512-5p, hsa-miR-663b, hsa-miR-1258, hsa-miR-1233, hsa-miR-1296"
hsa_circ_0007031/hsa_circ_0000504,Osteosarcoma,unknown
hsa_circ_0000504/hsa_circ_001373,Colorectal cancer,unknown
circRNA378,Esophageal cancer,unknown
hsa_circ_0030979,Uterine leiomyoma,unknown
hsa_circ_0030998,Cholangiocarcinoma,unknown
hsa_circRNA_101303,T-cell lymphoblastic lymphoma,unknown
hsa_circ_0030998,Lung cancer,unknown
hsa_circRNA_101308,Gastric cancer,unknown
hsa_circ_0029601,Preeclampsia,unknown
hsa_circ_0029633,Idiopathic pulmonary fibrosis,hsa_miR-326
hsa_circ_0099999,Pancreatic cancer,unknown
hsa_circ_0029696,Medulloblastoma,unknown
hsa_circ_0029696,Heart failure,unknown
hsa_circ_0000467,Colorectal cancer,unknown
hsa_circ_0000467,Gastric cancer,unknown
hsa_circ_0006732,Preeclampsia,unknown
hsa_circ_0005198,Glioblastoma,unknown
hsa_circ_0100129,Cervical cancer,unknown
hsa_circRNA_101237,Hepatocellular carcinoma,unknown
hsa_circ_0003489,Multiple myeloma,unknown
hsa_circRNA_101237,Non-small cell lung cancer,unknown
hsa_circ_0004372,Thoracic aortic dissection,"miR-873-5p, miR-23b-5p, miR-181a-2-3p, miR-93-3p, miR-29-3p"
hsa_circ_0100181,Acute myeloid leukemia,unknown
hsa_circ_0029853,Idiopathic pulmonary fibrosis,"hsa_miR-21-3p, hsa_miR-338-3p"
hsa_circ_0008068,Oral squamous cell carcinoma,unknown
hsa_circ_0100213,Breast cancer,unknown
hsa_circ_0000471,Ovarian cancer,unknown
hsa_circ_0029965,Active pulmonary tuberculosis,unknown
hsa_circ_0100338,Hepatocellular carcinoma,unknown
hsa_circ_0100338,Ischemia reperfusion injury,unknown
hsa_circ_0030018,Glioblastoma,unknown
hsa_circ_0030018,Myocardial injury,unknown
hsa_circ_0030018,Esophageal cancer,unknown
hsa_circ_0030042,Coronary heart disease,unknown
hsa_circ_0030045,Tuberculosis,"miR-650, miR-605-3p, miR-876-5p, miR-526b-5p, miR-569"
hsa_circ_0030055,Diabetes retinopathy,unknown
hsa_circ_0000479,Triple negative breast cancer,unknown
hsa_circ_0000479,Systemic lupus erythematosus,unknown
hsa_circ_0100587,Chronic hepatitis B,unknown
hsa_circ_0030235,Pancreatic cancer,unknown
hsa_circ_0000488,Acute myeloid leukemia,hsa-miR-496
hsa_circ_100721,Thyroid cancer,unknown
hsa_circ_0100759,Acute myeloid leukemia,unknown
circ_2137,Osteosarcoma,unknown
hsa_circ_0100783,Immunosenescence,unknown
hsa_circ_0008259,Gastric cancer,unknown
hsa_circ_0008259,Keloid,unknown
hsa_circ_0000495,Head and neck squamous cell carcinoma,unknown
hsa_circ_0100891,Acute myeloid leukemia,unknown
hsa_circ_0030507,Oral mucosal melanoma,unknown
hsa_circ_0100929,Hepatocellular carcinoma,unknown
hsa_circ_0100989,Acute myeloid leukemia,unknown
hsa_circ_0030569,Tuberculosis,"miR-30d-3p, miR-29a-5p, miR-584-3p, miR-30a-3p, miR-30e-3p"
hsa_circ_0030586,Prostate cancer,unknown
hsa_circ_0006318,Osteosarcoma,unknown
hsa_circ_0030605,Bronchopulmonary dysplasia,unknown
hsa_circ_0008274,Hepatocellular carcinoma,unknown
hsa_circ_0008274,Cholangiocarcinoma,unknown
hsa_circ_0008274,Lung cancer,unknown
hsa_circ_0008274,Papillary thyroid carcinoma,unknown
hsa_circ_0030632,Colorectal cancer,unknown
hsa_circ_0101113,Acute myeloid leukemia,unknown
circ_STK24,Temporal Lobe Epilepsy,unknown
hsa_circ_0101145,Hepatocellular carcinoma,unknown
circRNA17433,Preeclampsia,unknown
hsa_circ_0033155,Non-small cell lung cancer,unknown
hsa_circ_0101187,Breast cancer,unknown
circRNA3341,Esophageal cancer,unknown
hsa_circ_0002060,Osteoporosis,unknown
hsa_circ_000595,Breast cancer,unknown
hsa_circ_0033349,Nonfunctioning pituitary adenomas,unknown
hsa_circ_0033351,Hepatocellular carcinoma,unknown
hsa_circ_0101308,Cervical cancer,"miR-26a-5p, miR-196a-5p, miR-196b-5p, miR-335-3p, , miR-1307-3p"
hsa_circ_0033550,Cervical cancer,unknown
hsa_circ_0033988,Laryngeal cancer,unknown
hsa_circ_0000511,Breast cancer,unknown
hsa_circ_0000512,Colorectal cancer,unknown
hsa_circ_0000512,Prostate cancer,unknown
hsa_circ_0000515,Breast cancer,unknown
hsa_circ_0000515,Cervical cancer,unknown
hsa_circ_0101432,Hepatocellular carcinoma,unknown
hsa_circ_0000516,Papillary thyroid carcinoma,"hsa-miR-18b-3p, hsa-miR-670-5p, hsa-miR-23a-5p, hsa-miR-125a-3p, hsa-miR-125b-5p"
hsa_circ_0000517,Multiple sclerosis,unknown
hsa_circ_0000517,Hepatocellular carcinoma,miR-326
hsa_circ_0000518,Esophageal cancer,unknown
hsa_circ_0000517,Pancreatic cancer,unknown
hsa_circ_0000517,radioresistant esophageal cancer cells,"miR-181a-2*, miR-521, miR-556-5p, miR-512-5p, miR-663b, miR-1204"
hsa_circ_002178,Lung cancer,unknown
hsa_circ_0000519,Multiple sclerosis,unknown
hsa_circ_0000520/hsa_circ_001846,Gastric cancer,"miR-556-5p, hsa-miR-521, hsa-miR-1204, hsa-miR-146b-3p, hsa-miR-512-5p, hsa-miR-663b, hsa-miR-1258, hsa-miR-1233, hsa-miR-1296"
hsa_circ_0000520/hsa_circ_001846,Multiple sclerosis,unknown
hsa_circ_0000520,Breast cancer,unknown
hsa_circ_0000522,Colorectal cancer,unknown
hsa_circ_101319,Idiopathic membranous nephropathy,unknown
hsa_circ_0031242,Hepatocellular carcinoma,unknown
hsa_circ_0031250,Non-small cell lung cancer,"miR-377, miR-382, miR-498, miR-873-5p"
hsa_circ_0031250,Bladder cancer,unknown
hsa_circ_0031250,Gastric cancer,unknown
hsa_circ_0031258,Alzheimer's disease,unknown
hsa_circ_0031288/circPABPN1,Cervical cancer,unknown
hsa_circ_0000527,Retinoblastoma,unknown
hsa_circ_0007750,Hepatocellular carcinoma,unknown
circ_ARHGAP5,Colon cancer,unknown
circ_ARHGAP5,Epithelial ovarian cancer,unknown
hsa_circ_0101692,Clear cell renal cell carcinoma,unknown
hsa_circ_0101692,Pancreatic cancer,unknown
hsa_circ_0031594,Clear cell renal cell carcinoma,unknown
hsa_circ_0005836,Active pulmonary tuberculosis,unknown
hsa_circ_0101802,Colorectal cancer,"hsa-miR-6833-3p, hsa-let-7i-3p, hsa-miR-1301-3p"
hsa_circ_0101868,Acute myeloid leukemia,unknown
hsa_circ_101882,Gastric cancer,unknown
hsa_circ_0102049,Osteosarcoma,unknown
hsa_circ_0008945,Breast cancer,unknown
hsa_circRNA_537,Breast cancer,unknown
hsa_circ_0031978,Pterygium,unknown
hsa_circ_0031979,Gastric cancer,unknown
hsa_circ_0004846,Obesity,unknown
hsa_circ_0004846,Osteosarcoma,unknown
hsa_circ_0004846,Papillary thyroid carcinoma,unknown
hsa_circ_0102231,Non-small cell lung cancer,unknown
hsa_circ_0102272,Breast cancer,unknown
hsa_circ_0102272,Thyroid cancer,unknown
hsa_circ_0102273,Breast cancer,unknown
hsa_circ_0032131,Osteoarthritis,unknown
hsa_circ_0006393,Osteogenesis,unknown
hsa_circ_0004623,Triple negative breast cancer,unknown
hsa_circ_0007976,Tongue squamous cell carcinoma,unknown
hsa_circ_0032148,Uveal melanoma,"hsa-miR-181d-3p, hsa-miR-197-3p, hsa-miR-197-5p"
hsa_circ_0003028,Bladder cancer,unknown
hsa_circ_0003028,Liver cancer,unknown
hsa_circ_0102446,Acute myeloid leukemia,unknown
hsa_circ_0032253,Alzheimer's disease,unknown
circRNA9771,Esophageal cancer,unknown
hsa_circ_0032434,Cervical cancer,unknown
hsa_circ_0102537,Lung cancer,unknown
circRNA6783,Herpes Simplex Virus1 Infection,unknown
hsa_circ_0001979,Osteoarthritis,unknown
hsa_circ_0032462,Osteosarcoma,unknown
hsa_circ_0032463,Osteosarcoma,unknown
circDPF3,Prostate cancer,unknown
hsa_circ_0008521,Proliferative diabetic retinopathy,unknown
hsa_circ_0007013,Laryngeal cancer,unknown
hsa_circ_0000554,Esophageal cancer,unknown
hsa_circ_0032603,Parathyroid adenoma,unknown
hsa_circRNA_555,Breast cancer,unknown
hsa_circ_0032627,Gastric cancer,unknown
hsa_circ_0032683,Gastric cancer,unknown
hsa_circ_0032683,Rheumatoid arthritis,"E-cadherin, N-cadherin, Vimentin, Slug"
hsa_circ_0032704,Hepatocellular carcinoma,unknown
hsa_circ_0005267,Primary great saphenous vein varicosities,unknown
hsa_circ_0032821,Gastric cancer,unknown
hsa_circ_0102722,Bladder cancer,unknown
hsa_circ_0102722,Glioblastoma,unknown
hsa_circ_0032833,Colorectal cancer,unknown
hsa_circ_0032832,Esophageal cancer,unknown
hsa_circ_07204,Glioblastoma,unknown
hsa_circ_0032891,Multiple system atrophy,99microRNAs
hsa_circ_0102888,Acute myeloid leukemia,unknown
hsa_circ_0032970,Coronary artery disease,unknown
hsa_circ_0000563,Age-related cataract,unknown
hsa_circ_000595,Apoptosis of aortic smooth muscle cells,unknown
circ_UNC79,Glioblastoma,unknown
hsa_circ_0102958,Ovarian cancer,unknown
hsa_circ_00026,Glioblastoma,unknown
hsa_circ_0033074,Nasopharyngeal carcinoma,unknown
hsa_circ_0033079,Glioblastoma,unknown
hsa_circ_0103021,Breast cancer,unknown
hsa_circ_0141206,Breast cancer,unknown
circBCL11B,Breast cancer,unknown
hsa_circ_0033144,Intracranial aneurysm,"hsa-miR-588, hsa-miR-193a-3p, hsa-miR-361-3p"
hsa_circ_0000567,Colorectal cancer,"hsa-miR-1264, hsa-miR-490-3p, hsa-miR-619-3p, hsa-miR-23a-3p, hsa-miR-23b-3p"
hsa_circ_0000567,Gastric cancer,unknown
hsa_circ_0000567,Hepatocellular carcinoma,unknown
hsa_circ_0000567,Nasopharyngeal carcinoma,unknown
hsa_circ_0000567,Non-small cell lung cancer,unknown
hsa_circ_0000567,Ovarian cancer,unknown
hsa_circRNA_405324,Moyamoya disease,unknown
hsa_circ_0103232,Uveal melanoma,"hsa-miR-214-3p, hsa-miR-143-5p, hsa-miR-34a-3p"
hsa_circ_0006147,Breast cancer,unknown
hsa_circ_0034398,Systemic lupus erythematosus,"hsa-miR-136-5p, hsa-miR-665, hsa-miR-486-3p, hsa-miR-601, hsa-miR-30b-3p"
hsa_circ_0034472,Pterygium,unknown
hsa_circ_0034537,Gastric cancer,unknown
hsa_circ_0103398,Gastric cancer,unknown
hsa_circ_0034642,Glioblastoma,unknown
hsa_circ_0000592,Gastric cancer,"miR-139-3p, miR-200, miR-367-3p, miR-33a-3p"
hsa_circ_0034762,Ovarian endometriosis,unknown
hsa_circ_0034803,Gastric cancer,unknown
hsa_circ_0003838,Breast cancer,unknown
hsa_circ_0000594,Glioblastoma,unknown
hsa_circ_0000594,Hepatoblastoma,unknown
hsa_circ_0034912,Cervical cancer,unknown
hsa_circ_0103552,Breast cancer,unknown
hsa_circ_0103552,Thyroid carcinoma,unknown
hsa_circ_0000596,Oral mucosal melanoma,unknown
hsa_circ_0000598,Colorectal cancer,unknown
hsa_circ_0035197,Rheumatoid arthritis,unknown
hsa_circ_0103771,Coronary heart disease,unknown
hsa_circ_0035266,Inflammation,unknown
hsa_circ_0103809,Bladder cancer,unknown
hsa_circ_103809,Gastric cancer,unknown
hsa_circ_0103809,Hepatocellular carcinoma,unknown
hsa_circ_0103896,Pancreatic cancer,unknown
hsa_circ_0035381,Acute myeloid leukemia,unknown
chr15:55640530–55640923,Acute ischemic stroke,unknown
hsa_circ_0035432,Pancreatic cancer,unknown
hsa_circ_0035431,Gastric cancer,miR-130a-3p
hsa_circ_0035445,Colorectal cancer,unknown
hsa_circ_0035445,Gastric cancer,miR-497
hsa_circ_0001982,Breast cancer,miR-140-5p
hsa_circ_0035483,Prostate cancer,unknown
hsa_circ_0035483,Clear cell renal cell carcinoma,unknown
circRNA2918,Esophageal cancer,unknown
hsa_circ_0005402/hsa_circ_0000518/hsa_circ_000167,Multiple sclerosis,unknown
hsa_circ_0035560/hsa_circ_0005402/hsa_circRNA_101539/hsa_circRNA_101541,Multiple sclerosis,unknown
hsa_circ_0035563,Parathyroid carcinoma,unknown
hsa_circ_0002495,Bladder cancer,unknown
hsa_circ_0002138,Colorectal cancer,unknown
hsa_circ_0104204,Acute myeloid leukemia,unknown
hsa_circ_0001955,Colorectal cancer,unknown
hsa_circ_0001955,Cutaneous squamous cell carcinoma,unknown
hsa_circ_0001955,Hepatocellular carcinoma,unknown
hsa_circ_0000615,Colorectal cancer,unknown
hsa_circ_0000615,Coronary artery disease,unknown
hsa_circ_0000615,Diabetes retinopathy,unknown
hsa_circ_0000615,Duchenne muscular dystrophy,unknown
hsa_circ_0000615,Gastric cancer,unknown
hsa_circ_0000615,Glioblastoma,unknown
hsa_circ_0000615,Heart failure,unknown
hsa_circ_0000615,Hepatocellular carcinoma,unknown
hsa_circ_0000615,Hirschsprung disease,unknown
hsa_circ_0000615,Hypertension,"miR-28-5p, miR-326, miR-330-5p, miR-361-5p, miR-421, miR-422a, miR-490-3p, miR-491-5p"
hsa_circ_0000615,Lung cancer,unknown
hsa_circ_0000615,Lupus nephritis,"hsa-miR-6807-3p, hsa-miR-5095, hsa-miR-1273g-3p, hsa-miR-5096, hsa-miR-619-5p"
hsa_circ_0000615,Myocardial infarction,unknown
hsa_circ_0000615,Nasopharyngeal cancer,unknown
hsa_circ_0000615,Non-small cell lung cancer,unknown
hsa_circ_0000615,Prostate cancer,unknown
hsa_circ_0000615,Renal cell carcinoma,unknown
hsa_circ_0000615,Rhabdomyosarcoma,unknown
hsa_circ_0000615,vascular endothelial dysfunction,unknown
hsa_circ_0035944,Hepatocellular carcinoma,unknown
hsa_circ_0000620,Gastric cancer,unknown
hsa_circ_0104345,Breast cancer,unknown
circ_MYO9B,Temporal Lobe Epilepsy,"Col1a2, Col3a1, α-SMA, miR-26b-5p, CTGF"
hsa_circRNA_36159,Breast cancer,unknown
hsa_circ_001066/hsa_circRNA_001066,Gastric cancer,unknown
hsa_circ_0000629,Bladder cancer,unknown
circCD276,Prostate cancer,unknown
hsa_circ_0104541,Tongue squamous cell carcinoma,unknown
hsa_circ_0036287,Gastric cancer,unknown
hsa_circ_0000638,Inflammation,unknown
circETFA,Breast cancer,unknown
hsa_circ_10388,Glioblastoma,unknown
hsa_circ_0036474,Preeclampsia,unknown
hsa_circ_0104670,Hepatocellular carcinoma,unknown
hsa_circ_0004585,Colorectal cancer,unknown
hsa_circ_0003893,Gastric cancer,unknown
hsa_circ_0000646,Breast cancer,unknown
hsa_circ_0104852,Breast cancer,unknown
hsa_circ_0036722,Hypopharyngeal carcinoma,"miR-1250-5p, miR-1254, miR-1301-3p, miR-145-5p, miR-185-3p, miR-3127-5p, miR-3186-3p, miR-323b-5p, miR-3675-5p, miR-4435, miR-4474-3p, miR-4715-3p, miR-4726-5p, miR-5088-3p, miR-6089, miR-671-5p, miR-6757-5p, miR-6762-5p, miR-6767-5p, miR-6799-3p, miR-6836-5p, miR-6880-5p, miR-6895-5p, miR-8077"
hsa_circ_0036722,Laryngeal cancer,unknown
hsa_circ_0036763,Intervertebral disc degeneration,unknown
hsa_circ_0000650,Chronic hepatitis B,miR-6873-3p
hsa_circ_0000651,Multiple myeloma,unknown
hsa_circ_0104873,Osteoarthritis,unknown
hsa_circ_0036877,Preeclampsia,unknown
hsa_circ_0036878,Preeclampsia,unknown
hsa_circ_0005529,Gastric cancer,unknown
hsa_circ_0000654,Esophageal cancer,unknown
hsa_circ_0000657,Gastric cancer,unknown
hsa_circ_0000658,Osteosarcoma,unknown
hsa_circRNA_659,Breast cancer,unknown
chr15:95864225-95894541,Intestinal injury and repair,unknown
hsa_circ_0005035,Age-related cataract,unknown
hsa_circ_0005035,Lung cancer,unknown
hsa_circ_0007701,Colorectal cancer,unknown
hsa_circ_009024/hsa_circ_0009128,Active pulmonary tuberculosis,unknown
hsa_circ_0009128,Lung cancer,unknown
hsa_circ_0005394,Hepatocellular carcinoma,unknown
hsa_circ_0000673,Cholangiocarcinoma,unknown
hsa_circ_0000673,Hepatocellular carcinoma,unknown
hsa_circ_0000673,Ovarian endometriosis,unknown
hsa_circ_0105015,Essential hypertension,unknown
hsa_circ_0037909,Essential hypertension,unknown
hsa_circ_0002161,Essential hypertension,unknown
hsa_circ_0037911,Essential hypertension,"hsa-miR-637, hsa-miR-2115-5p, hsa-miR-6881-3p"
hsa_circ_0037923,Renal cell carcinoma,unknown
hsa_circ_0037128,Diabetic nephropathy,unknown
hsa_circ_0009065,Pancreatic cancer,unknown
hsa_circ_0003420,Sepsis-induced liver damage,unknown
hsa_circ_0000677/hsa_circ_001569/circABCC,Breast cancer,unknown
hsa_circ_0000677/hsa_circ_001569/circABCC,Colorectal cancer,unknown
hsa_circ_0000677/hsa_circ_001569/circABCC,Gastric cancer,unknown
hsa_circ_0000677/hsa_circ_001569/circABCC,Hepatocellular carcinoma,unknown
hsa_circ_0000677/hsa_circ_001569/circABCC,Osteosarcoma,unknown
hsa_circ_0002078,Moyamoya disease,unknown
hsa_circ_0038262,Colon cancer,unknown
hsa_circ_0003645,Atherosclerosis,unknown
