circRNA,disease
circ_C5,Chronic hepatitis B
hsa_circ_0015278,Papillary thyroid carcinoma
hsa_circ_0079787,Axial spondyloarthritis
CDR1as/ciRS-7/hsa_circ_0001946,Lung cancer
chr5:170610175-170632616,Ovarian cancer
hsa_circ_0011292,Non-small cell lung cancer
hsa_circ_0001313/circCCDC66/hsa_circ_000374,Breast cancer
hsa_circ_0001451,Triple negative breast cancer
hsa_circ_0074362,Glioblastoma
circRNA7,Herpes Simplex Virus1 Infection
hsa_circ_0004058,Hepatocellular carcinoma
hsa_circ_0046264,Lung cancer
hsa_circ_0020786,Uterine leiomyoma
circ_0092314,Pancreatic cancer
hsa_circ_0001946,Periodontitis
hsa_circ_0018508,Type2 diabetes mellitus
hsa_circ_0005654,Gastric cancer
circRNA_PDHX,Prostate cancer
hsa_circ_0001346,Lung adenocarcinoma
hsa_circ_0005394,Hepatocellular carcinoma
hsa_circ_0001017/hsa_circ_002020,Gastric cancer
hsa_circ_0000119,Lung cancer
circ_0001178,Hepatocellular carcinoma
hsa_circ_0005075,Hepatocellular carcinoma
hsa_circ_0080145,Chronic myeloid leukemia
hsa_circ_0003496,Osteosarcoma
circular RNA_0004674,Oral squamous cell carcinoma
hsa_circRNA_100323,Ovarian cancer
hsa_circ_0075370,Congenital heart disease
hsa_circ_002082,Hepatic steatosis
circ-ITCH,Ovarian carcinoma
hsa_circ_0006357,Periventricular white matter damage
circRNA_000684,Pancreatic ductal adenocarcinoma
circCCDC66,Thyroid cancer
hsa_circ_0077232,Glioblastoma
circRNA6783,Herpes Simplex Virus1 Infection
hsa_circ_0014130,Ovarian cancer
hsa_circ_0002360,Lung adenocarcinoma
circRNA7675,Esophageal cancer
circ_0084043,Melanoma
circRNA_7571,Atrial fibrillation
Circ_0061012,Psoriasis
hsa_circ_0001283/hsa_circ_000939,Breast cancer
hsa_circRNA_402130,Non-obstructive azoospermia
hsa_circ_000839,hepatocellular carcinoma
hsa_circ_0006318,Osteosarcoma
hsa_circ_0005986,Hepatocellular carcinoma
hsa_circ_0046263,Nasopharyngeal carcinoma
hsa_circ_0003611,Alzheimer's disease
hsa_circ_0043800,Hepatoblastoma
hsa_circ_0058514,Non-small cell lung cancer
hsa_circ_0089231,Cervical cancer
hsa_circ_0035432,Pancreatic cancer
circMTO1,hepatocellular carcinoma
circ-ZKSCAN1,Bladder cancer
hsa_circRNA_11058,Rheumatic heart disease
hsa_circ_0001313/circCCDC66/hsa_circ_000374,Hirschsprung disease
hsa_circ_0003279,Hypopharyngeal carcinoma
hsa_circ_0016347,osteosarcoma
circRNA_25487,Trauma-induced osteonecrosis of femoral head
circ_0000502,Hepatocellular carcinoma
hsa_circ_0042666,Laryngeal cancer
hsa_circ_0132246,Bladder cancer
hsa_circ_0004887,Colorectal cancer
circ_LARP4,Hepatocellular carcinoma
circNR3C1,Age-related macular degeneration
hsa_circ_0016760,Non-small cell lung cancer
hsa_circ_0001946,Atherosclerosis
circ_0067934,Neuronal cell injury
hsa_circ_0001725,Gastric cancer
circRNA-000284,Cervical cancer
hsa_circ_0087862,Lung cancer
circRNA_101996 ,Cervical cancer
hsa_circ_0030018,Glioma
circ‑CCT3,Hepatocellular carcinoma
hsa_circ_0000378/hsa_circ_000007,Acute pancreatitis
hsa_circ_0092306,Lung cancer
CDR1as,Gastric cancer
hsa_circ_0004812,Chronic hepatitis B
circPTGR1,Hepatocellular carcinoma
circ_100395,Liver cancer
hsa_circ_0077179,Systemic lupus erythematosus
hsa_circ_0005870,hypertension
hsa_circRNA_001430,Nasopharyngeal carcinoma
circCTDP1,Nasopharyngeal carcinoma
hsa_circ_10435,Glioblastoma
hsa_circ_0004519,Esophageal cancer
hsa_circ_0067997,Gastric cancer
CDR1as,Lung squamous cell carcinoma
hsa_circ_0072088,Esophageal cancer
hsa_circ_0000221,Hepatocellular carcinoma
hsa_circ_0005931,Hepatoblastoma
hsa_circ_0088708,Bladder cancer
circRNA9658,Esophageal cancer
CircDUSP16,Esophageal squamous cell carcinoma
circLARP4,Hepatocellular carcinoma
hsa_circ_102115,Nasopharyngeal carcinoma
hsa_circ_0000098,Hepatocellular carcinoma
hsa_circRNA_104692,Osteosarcoma
hsa_circ_03955,Osteosarcoma
hsa_circ_0043145,Proliferative vitreoretinopathy
circRNA_0000094,T cell acute lymphoblastic leukemia
has_circ-000881,Lung adenocarcinoma
hsa_circ_0071542,Myocarditis
hsa_circ_103410 ,diabetic retinopathy
circSLC8A1,cardiovascular disease
hsa_circ_0001192,Renal cell carcinoma
hsa_circ_0083682,Glioblastoma
hsa_circRNA_103999,Gastric cancer
hsa_circ_0083920,Uterine leiomyoma
hsa_circ_0005728,Triple negative breast cancer
circRNAPLOD2,PDLSC osteogenis
hsa_circ_0001649,Glioblastoma
hsa_circ_0058147,Gastric cancer
hsa_circ_0030042,Coronary heart disease
circ_0001368,Renal cell carcinoma
hsa_circ_0009109,Gastric cancer
hsa_circ_0000043,Endometrial carcinoma
circ_0007534,Cervical cancer
hsa_circ_0046159,Pulmonary hypertension
has_circ10628-6,Uveal melanoma
hsa_circ_0058106,Hypopharyngeal squamous cell carcinoma
hsa_circ_0005963,Colorectal cancer
CircMAP3K5,Neointimal hyperplasia
has_circ-0000994,Scar
hsa_circ_0008549,Gastric cancer
hsa_circ_0005525,Thoracic aortic dissection
hsa_circ_0067531,Oral mucosal melanoma
circVRK1,Preeclampsia
hsa_circ_0007534,Glioma
cZNF292,glioma
circZFR,Hepatocellular carcinoma
circZNF609,Lung cancer
circANKRD36,Bedsore
hsa_circ_0005035,Age-related cataract
circRNA-100284,Bladder cancer
hsa_circ_0080210/circ-GRB10,Intervertebral disc degeneration
hsa_circ_0000284,Diabetic nephropathy
hsa_circ_0001554,Oral mucosal melanoma
hsa_circ_0084615,Thoracic aortic dissection
hsa_circRNA_101996,Cervical cancer
hsa_circ_000792,Lung cancer
hsa_circ_103847,liver cancer
hsa_circ_0001189/hsa_circ_001502,Hypopharyngeal carcinoma
hsa_circ_100571,Primary hepatic carcinoma
circRNA_100876,Breast cancer
hsa_circ_0046366,Hepatic steatosis
hsa_circ_0067934,Lung cancer
hsa_circ_0006404,Myocardial senescence
hsa_circ_0092220,Proliferative vitreoretinopathy
circ_2137,Osteosarcoma
circACAP2,Breast cancer
hsa_circ_0005015,Diabetic retinopathy
circ_LARP4,Prostate cancer
circ-UBE2D2,Breast cancer
hsa_circ_0000237,Colorectal cancer
circHECTD1,Gastric cancer
circ_0008274,Papillary thyroid carcinoma
hsa_circ_0023706,Radiation-induced liver disease
hsa_circ_0000567,Hepatocellular carcinoma
hsa_circ_0000284,Hepatocellular carcinoma
hsa_circ_0015449,Basal cell carcinoma
hsa_circ_0023114,Melanoma
hsa_circ_0056285,Osteosarcoma
hsa_circRNA_14623,Pulmonary tuberculosis
hsa_circ_0007928,Lung cancer
hsa_circ_0000426,Clear cell renal cell carcinoma
hsa_circ_0017247,Bladder cancer
circCDYL,Bladder cancer
hsa_circ_0001649/circSHPRH/hsa_circ_001599,Digestive System Neoplasm
hsa_circ_0005114,Glioblastoma
hsa_circ_0001944,Breast cancer
hsa_circ_0016628,Uterine leiomyoma
hsa_circ_0058097,Endplate cartilage degeneration
hsa_circ_0018289,Cervical cancer
hsa_circRNA_001826,Gastric cancer
circ-CDYL,Multiple myeloma
circHIPK3,Insulin resistance
hsa_circ_100290,Acute myeloid leukemia
hsa_circ_0006903,Breast cancer
circ_0062019,Prostate cancer
hsa_circ_0005389,Chronic hepatitis B
hsa_circ_0085616,Gastric cancer
Circular PVT1,Ovarian cancer
hsa_circ_0007707,Gastric cancer
circ_0007444,Ovarian cancer
circBC048201,bladder carcinoma
hsa_circ_0003949,Hepatocellular carcinoma
circEPSTI1,Ovarian cancer
circPUM1,Lung adenocarcinoma
circASAP1,Hepatocellular carcinoma
hsa_circ_0006859,Postmenopausal osteoporosis
circRNA_2713,Preeclampsia
Circ-DNMT1,Breast cancer
hsa_circ_0061140,Ovarian cancer
hsa_circ_0005082,Non-small cell lung cancer
circ_0001730,Glioblastoma
hsa_circRNA_004582,Gastric cancer
hsa_circ_0001313,Colorectal cancer
circRNA7534,Esophageal cancer
hsa_circ_0017248,Ovarian endometriosis
cZNF609,Prostate cancer
circ_KATNAL1,Prostate cancer
hsa_circ_0009024,Tuberculosis
hsa_circ_0005758,Gastric cancer
circRNA CBL.11,Colorectal cancer
hsa_circ_104348,papillary thyroid carcinoma
Circ_0008035,Gastric cancer
hsa_circ_0008035,Gastric cancer
hsa_circ_0008131,Papillary thyroid carcinoma
hsa_circ_0001451,Colorectal cancer
hsa_circ_0030998,Cholangiocarcinoma
hsa_circRNA_13478,Pulmonary tuberculosis
hsa_circ_0000254,Acute myeloid leukemia
hsa_circ_0006057,Diabetic cataract
hsa_circ_008389,Premature ovarian insufficiency
Circ_0006174,Colorectal cancer
hsa_circ_0000673,Hepatocellular carcinoma
hsa_circ_0058514,Triple negative breast cancer
hsa_circ_0001073,Acne
hsa_circ_0008039,Colon cancer
hsa_circ_0036722,Hypopharyngeal squamous cell carcinoma
hsa_circ_00026,Glioblastoma
hsa_circ_102086,Glioblastoma
circCEP128,Bladder cancer
ciRS-7,Hepatocellular carcinoma
hsa_circ_0006147,Breast cancer
hsa_circ_0000977/hsa_circ_001918,Colorectal cancer
hsa_circ_0068515,Lung squamous cell carcinoma
hsa_circ_0003694,Systemic lupus erythematosus
hsa_circ_0024169,Angiosarcoma
hsa_circ_104983,esophageal cancer
circ_0067934,Thyroid cancer
Circ_ASAP2,Gastric cancer
hsa_circ_0001495,Cellular senescence
chr6:41250133–41250489,Acute ischemic stroke
circTTBK2,Glioma
has_circ_0015758,Glioblastoma
circ-HECTD1,Ischemic stroke
hsa_circ_0079586,Glioma
hsa_circ_0128533,Uveal melanoma
circRNA7676,Esophageal cancer
hsa_circ_0000231,Atherosclerosis
hsa_circ_0102272,Thyroid cancer
hsa_circ_0062960,Heart failure
hsa_circ_0037516,Non-small cell lung cancer
Hsa_circ_0006571,Lung adenocarcinoma
hsa_circ_0002211,Prostate cancer
hsa_circ_07204,Glioblastoma
circ_UBQLN1,Temporal Lobe Epilepsy
hsa_circ_001059,Papillary thyroid microcarcinoma
hsa_circ_0061140,Bladder cancer
circRNA_7386,Atrial fibrillation
circEIF6,Pancreatic cancer
hsa_circ_0001313,Osteosarcoma
hsa_circ_0006848,Gastric cancer
hsa_circ_0043632,Non-small cell lung cancer
hsa_circ_0001741,Hepatocellular carcinoma
hsa_circ_0000735,Bladder cancer
hsa_circ_0006990,Breast cancer
circ_0000337,Esophageal squamous cell carcinoma
hsa_circ_0054211,Multiple system atrophy
hsa_circ_002178,Glioblastoma
circ_0020394,Bladder cancer
circHIPK3,bladder cancer
circHIPK3,Oral squamous cell carcinoma
hsa_circ_102002,papillary thyroid carcinoma
hsa_circRNA_103390,Pancreatic cancer
hsa_circ_0003570,hepatocellular carcinoma
hsa_circ_0076305,Non-small cell lung cancer
hsa_circ_0000096,Hepatocellular carcinoma
hsa_circ_0089105,Breast cancer
Circ_0001175,Hepatocellular carcinoma
CircCDKN2B-AS1,Cervical cancer
hsa_circ_0005075,hepatocellular carcinoma
circular RNA Ttc3,Kidney injury
hsa_circRNA_102231,Lung cancer
hsa_circ_0005075,Gastric cancer
hsa_circ_0008529,Diabetic nephropathy
hsa_circ_0017526,Breast cancer
circ_0015756,Hepatocellular carcinoma
Hsa_circ_0010235,Non-small cell lung cancer
circRNA_100284,Liver cancer
hsa_circ_0002768,Hepatocellular carcinoma
hsa_circ_0011385,Bladder cancer
hsa_circ_0055625,Colon cancer
hsa_circ_103809,liver cancer
Circ_0055625,Colon cancer
hsa_circ_0036877,Preeclampsia
hsa_circ_0064574,Chronic lymphocytic leukemia
circ-SKA3,Medulloblastoma
hsa_circ_0132980,Cervical cancer
circ_0005927,Colorectal cancer
hsa_circ_0049027,Gastric cancer
hsa_circRNA_09585,Pulmonary tuberculosis
hsa_circ_0008719,Pancreatic cancer
hsa_circ_0005836,active pulmonary tuberculosis
circWHSC1,Endometrial cancer
hsa_circ_0085553,Gastric cancer
hsa_circ_002059,gastric cancer
hsa_circ_0008832,Gastric cancer
hsa_circ_0058058,acute myeloid leukemia
hsa_circ_0001666,Pancreatic cancer
hsa_circ_0006772,Preeclampsia
hsa_circ_0044226,Idiopathic pulmonary fibrosis
hsa_circ_0001829,Gastric cancer
hsa_circRNA_104916,Colorectal cancer
hsa_circ_0071662,Bladder cancer
circNELL2,Esophageal squamous cell carcinoma
circEHBP1,Bladder cancer
hsa_circ_0006022,Gastric cancer
hsa_circ_0093887,Atherosclerosis
circCCDC66,Breast cancer
hsa_circ_05707,Glioblastoma
hsa_circ_0003221/circPTK2,Bladder cancer
CDR1as,Ovarian cancer
circHIPK3,non small cell lung cancer
hsa_circ_0006913,Pancreatic cancer
hsa_circ_0081143,Gastric cancer
circRNA-103809,Hepatocellular carcinoma
hsa_circ_0058092,Gastric cancer
hsa_circ_0039053,Hepatocellular carcinoma
circ_LARP4,Gastric cancer
circ_0000338,Colorectal cancer
circYY1,Breast cancer
hsa_circ_0005105,osteoarthritis
hsa_circ_0105346,Colorectal cancer
hsa_circ_004183,Papillary thyroid microcarcinoma
hsa_circ_0065214,Hepatocellular carcinoma
hsa_circ_0023313,Non-obstructive azoospermia
circRBM23,Hepatocellular carcinoma
hsa_circRNA_001287,Renal cell carcinoma
circHIPK3,Ovarian cancer
circADAMTS13,Hepatocellular carcinoma
hsa_circ_01619,Glioblastoma
circPVT1,Hepatocellular carcinoma
hsa_circ_0020732,Lung adenocarcinoma
circFANCA,Sepsis
hsa_circ_0017650,Breast cancer
hsa_circ_0057340,Osteoporosis
hsa_circRNA_000598,Osteoarthritis
circRNA_101237,Hepatocellular carcinoma
hsa_circ_0007534,Pancreatic cancer
hsa_circ_0102722,Glioblastoma
circARNT2,Hepatocellular carcinoma
chr5:32640331-32664400,Intestinal injury and repair
hsa_circ_104270,Pancreatic cancer
hsa_circ_0005577,Bronchopulmonary dysplasia
hsa_circ_0000337,Esophageal squamous cell carcinoma
hsa_circ_0001866,Systemic lupus erythematosus
circUBAP2,osteosarcoma
circRNA_104075,Hepatocellular carcinoma
hsa_circ_000984/hsa_circ_0001724,Colorectal cancer
hsa_circ_0009112,Osteosarcoma
CDR1as/ciRS-7/hsa_circ_0001946,Coronary heart disease
circ_0001368,Pituitary adenoma
hsa_circRNA_074298,Thyroid cancer
hsa_circ_0123996,Kawasaki disease
circPSMC3,Gastric cancer
hsa_circ_0001313,Colon cancer
hsa_circ_0001417,Glioma
hsa_circ_0025039,Melanoma
circHIPK3,Glioma
hsa_circ_0000212,Colorectal cancer
hsa_circ_0066922,Diabetes retinopathy
hsa_circRNA8506,Esophageal cancer
hsa_circ_0141206,Breast cancer
hsa_circ_0004831,Inflammatory response
hsa_circ_0023984,Infantile hemangioma
hsa_circ_0072309,Liver cancer
hsa_circ_0037251,Glioblastoma
circ_0000043,Breast cancer
hsa_circ_0000284,Ovarian endometriosis
hsa_circ_0004846,Obesity
circCCDC66,Hirschsprung disease
hsa_circ_101141,Hepatocellular carcinoma
hsa_circ_0057421,Osteoarthritis
hsa_circ_0076690,Osteoporosis
hsa_circ_0001633,Prostate cancer
hsa_circ_0060180,Parkinson's disease
hsa_circ_0066875,Colorectal cancer
hsa_circ_0020093,Ovarian cancer
hsa_circ_0000069,Steroid-induced osteonecrosis of the femoral head
hsa_circ_0000563,Age-related cataract
circ_32279,Osteosarcoma
circ_0085616,Cervical cancer
circ-BANP,Lung cancer
hsa_circ_0032434,Cervical cancer
circ_0079593,Glioblastoma
hsa_circRNA_10008,Osteoarthritis
hsa_circ_0002133,Hepatocellular carcinoma
CDR1as/ciRS-7/hsa_circ_0001946,Prostate cancer
hsa_circ_0105346,Osteosarcoma
hsa_circ_0001766,Oral squamous cell carcinoma
hsa_circ_0001009,Glioblastoma
ciRS-7,Periodontitis
circ-HIPK3,Cervical cancer
hsa_circ_0001955,Cutaneous squamous cell carcinoma
hsa_circ_19159,Glioblastoma
hsa_circRNA_403472,Alzheimer's disease
hsa_circ_0006220,Breast cancer
hsa_circ_0000502,Osteosarcoma
circPRMT5,Bladder urothelial carcinoma
hsa_circ_0076906,Osteoporosis
hsa_circ_0133460,Uveal melanoma
hsa_circ_0007534,"Glioblastoma,Non small cell Lung Cancer"
circHIPK3,Bladder cancer
hsa_circ_0079929,Hepatocellular carcinoma
hsa_circ_092520,Crohn disease
hsa_circ_0001946,Celebral development
hsa_circ_0035266,Inflammation
circRNA_100290,Laryngeal squamous cell carcinoma
circ_0006404,Gastric carcinoma
hsa_circ_0000119,Prostate cancer
hsa_circ_0041103,Bladder carcinoma
CircDENND2A,Non-small cell lung cancer
chr22:28943661-28946139,Bladder cancer
circBCL11B,Breast cancer
hsa_circ_0007874,Hepatocellular carcinoma
has_circ_0001492,Colorectal cancer
hsa_circ_0005273,Papillary thyroid carcinoma
hsa_circ_0001073,Lung cancer
hsa_circ_0021093,Hepatocellular carcinoma
hsa_circ_0018764,Hepatocellular carcinoma
hsa_circ_0088483,Thyroid cancer
hsa_circRNA_103047,Rheumatoid arthritis
hsa_circ_0000320,Triple negative breast cancer
hsa_circ_0008945,breast cancer
hsa_circ_0001417/hsa_circ_001160,Tuberculosis
hsa_circRNA_537,Breast cancer
hsa_circ_0076808,Uterine leiomyoma
hsa_circ_0103552,Thyroid carcinoma
hsa_circ_0000673,Ovarian endometriosis
hsa_circ_0017736,Osteoporosis
hsa_circ_0051079,Osteosarcoma
hsa_circ_0001681,Colorectal cancer
hsa_circRNA_10008,Breast cancer
hsa_circ_0006404,Non-small cell lung cancer
hsa_circ_0001564,Osteosarcoma
hsa_circ_406557,Prostate cancer
hsa_circ_0001320,Lung cancer
hsa_circ_0000326,Lung cancer
hsa_circ_0007534,Osteosarcoma
Circ_GRN,Atherosclerosis
circRNA5669,Esophageal cancer
circ_0000285,Laryngocarcinoma
Circ_0031242,Hepatoma
hsa_circ_0067934,Hepatocellular carcinoma
Circ0120816,Esophageal squamous cell carcinoma
17_50189167_50198002_-,Hypertrophic scar
hsa_circ_0000285,Thyroid cancer
hsa_circ_0022080,Colorectal cancer
hsa_circ_0008932,Intervertebral disc degeneration
hsa_circ_0031288,Cervical carcinoma
hsa_circ_0078768,Pulmonary tuberculosis
hsa_circ_0006276,Lung cancer
hsa_circ_0084003,Non-small cell lung cancer
hsa_circ_0067301,Endometriosis
hsa_circRNA_16688,Rheumatic heart disease
Circ_0006168,Esophageal squamous cell carcinoma
hsa_circ_0001821,Hepatocellular carcinoma
hsa_circ_0003418,Hepatocellular carcinoma
hsa_circRNA_074598,Breast cancer
hsa_circ_0014130,Colon cancer
hsa_circ_0002570,Proliferative diabetic retinopathy
Circ_0001806,Non-small cell lung cancer
hsa_circ_0064996,Rheumatoid arthritis
circRACGAP1,Non-small cell lung cancer
hsa_circ_0001438,Preeclampsia
hsa_circ_101717,Pancreatic cancer
ciRS-7,hepatocellular carcinoma
hsa_circ_0008234,Gallbladder cancer
hsa_circ_0081000,Colon cancer
hsa_circ_0124644,Atherosclerosis
hsa_circ_0004383/cZNF292,Glioblastoma
hsa_circ_0060467,Cervical cancer
circ_0003420,Sepsis-induced liver damage
hsa_circ_0001946,Heart failure
hsa_circ_0005320,Oral squamous cell carcinoma
circPSD3,Hepatocellular carcinoma
hsa_circ_0000105,Liver cancer
circ_DLGAP4,Diabetic kidney disease
hsa_circ_100338,Hepatocellular carcinoma
circ_-LARP4,Osteosarcoma
circ_0008274,Cholangiocarcinoma
circ_DROSHA,Temporal Lobe Epilepsy
hsa_circ_0023114,Hepatoblastoma
hsa_circ_0000284/circHIPK3,Carotid disease and ischemic stroke
hsa_circ_0004390,Ovarian cancer
Circ_0009910,Hepatocellular carcinoma
hsa_circ_0084097,Gastrointestinal stromal tumour
hsa_circ5974-1,coronary artery disease
circ-PITX1,Non-small cell lung cancer
hsa_circ_003524,rheumatoid arthritis
hsa_circ_0000615,Hepatocellular carcinoma
hsa_circ_0001715,Lung cancer
circPRMT5,Papillary thyroid carcinoma
hsa_circ_0054971,gastric cancer
circZNF609,Prostate cancer
hsa_circ_0002484,Gastric cancer
hsa_circ_0085020,Pterygium
circEPSTI1,Osteosarcoma
hsa_circ_407176,Primary biliary cirrhosis
hsa_circ_0001946,Alzheimer's disease
hsa_circ_0006916,Colorectal cancer
hsa_circ_0000096,Gastric cancer
hsa_circ_0102272,Breast cancer
circCOL3A1-859267,photoaging
circ_0021093,Hepatocellular carcinoma
hsa_circ_0002768,Laryngocarcinoma
circCPA4,Glioma
hsa_circ_0044353,Repeated implantation failure
cir-ZNF609,Hirschsprung's disease
hsa_circ_0004380,Colorectal cancer
hsa_circ_0075829,basal cell carcinoma
circRNA-0072309,Liver cancer
hsa_circ_0085534,Parathyroid carcinoma
circ-0000284,Cholangiocarcinoma
hsa_circ_0097977,Proliferative diabetic retinopathy
hsa_circ_000684,Glioblastoma
hsa_circ_0044073,Atherosclerosis
hsa_circ_0005127,Facet joint osteoarthritis
circ-ITCH,Triple negative breast cancer
hsa_circ_0064451,Colon cancer
hsa_circ_0001588,Lung cancer
hsa_circRNA_4815,Breast cancer
circHIPK3,Asthma
hsa_circ_0102888,Acute myeloid leukemia
circRNAs-MSR,osteoarthritis
hsa_circ_0006801,Postmenopausal Osteoporosis
CDR1as/ciRS-7/hsa_circ_0001946,Gastric cancer
Circ-UBR5,Non-small cell lung cancer
circRNA8840,Preeclampsia
hsa_circ_0008305,Non-small cell lung cancer
hsa_circ_0001946,Esophageal squamous cell carcinoma
hsa_circ_0046367,Hepatic steatosis
circRNA_141539,Esophageal cancer
circSMAD2,Prostate cancer
circ-0000212,Colorectal cancer
hsa_circRNA_007878,Ventricular septal defect
Has_circRPPH_015,Breast cancer
hsa_circRNA_141539,Esophageal cancer
hsa_circRNA_004183,Hepatic steatosis
hsa_circ_0000079,Non-small cell lung cancer
Circ-MEMO1,Non-small cell lung cancer
hsa_circ_0024108,Glioblastoma
hsa_circ_0003505,Papillary thyroid carcinoma
hsa_circ_0013912,Pancreatic cancer
hsa_circ_0001206,Prostate cancer
hsa_circ_0001946,Lung adenocarcinoma
hsa_circRNA_100241,Osteosarcoma
hsa_circ_0036763,Intervertebral disc degeneration
hsa_circ_0035381,Acute myeloid leukemia
CDR1as,Laryngeal cancer
hsa_circ_0059665,Acute pancreatitis
hsa_circ_0000284,Kidney cancer
circ_ITCH,Melanoma
hsa_circ_0044235,Systemic lupus erythematosus
hsa_circ_0033550,Cervical cancer
hsa_circ_0019692,Renal cell carcinoma
hsa_circ_0008450,Nasopharyngeal carcinoma
hsa_circ_0000119,Gastric cancer
hsa_circ_0026388,Diabetes retinopathy
hsa_circ_0051398,Renal cell carcinoma
hsa_circ_0000291,Breast cancer
hsa_circ_0001386,Clear cell renal cell carcinoma
hsa_circ_0034642,Glioblastoma
hsa_circ_102619,Pancreatic cancer
CDR1as,Colorectal cancer
circPVT1,Gastric cancer
circ-TFCP2L1,Triple negative breast cancer
circFOXK2,Pancreatic ductal adenocarcinoma
hsa_circ_0063526,Gastric cancer
hsa_circ_0004136,Multiple myeloma
hsa_circ_0089762,Chronic lymphocytic leukemia
hsa_circ_0001103,Osteoarthritis
hsa_circ_02559,Glioblastoma
hsa_circ_0063781,Facet joint osteoarthritis
hsa_circ_0046701,Glioma
hsa_circ_0035560,Multiple sclerosis
hsa_circ_0000615,Prostate cancer
hsa_circ_0126678,Lung cancer
hsa_circRNA_004666,Triple negative breast cancer
circ_TCF4.85,Hepatocellular carcinoma
hsa_circ_0001649/circSHPRH/hsa_circ_001599,Pancreatic cancer
circ-MYBL2,Multiple myeloma
hsa_circ_0039411,Papillary thyroid carcinoma
hsa_circ_0001361,Bladder cancer
hsa_circ_0007518,Non-small cell lung cancer
circHIPK3,Colorectal cancer
circ-PRKCI,Papillary thyroid carcinoma
circ_0007444,Colon cancer
hsa_circ_0000711,Colorectal cancer
hsa_circ_0035944,Hepatocellular carcinoma
hsa_circ_0000284/circHIPK3,Hyperglycemia
hsa_circ_0089548,Gastric cancer
hsa_circRNA_007850,Hepatic steatosis
hsa_circ_0062558,Uterine leiomyoma
hsa_circ_0051778,Parathyroid adenoma
hsa_circ_0047718,Gastric cancer
hsa_circ_0021372,Systemic lupus erythematosus
hsa_circ_0058124,Papillary thyroid carcinoma
hsa_circ_0071375,Multiple myeloma
circPCNXL2,Clear cell renal cell carcinoma
hsa_circ_0092306,Gastric cancer
hsa_circRNA8662–12,Hepatocellular carcinoma
hsa_circ_001066/hsa_circRNA_001066,Gastric cancer
circ-FOXO3,Bladder cancer
hsa_circRNA_104854,Repeated implantation failure
CDKN2B-AS1,Cervical cancer
hsa_circ_0000291,Gastric cancer
hsa_circ_0000284,Preeclampsia
hsa_circ_0000043,Ovarian cancer
hsa_circ_0000419,Ovarian endometriosis
hsa_circ_0082374,Glioblastoma
hsa_circ_0007843,Colon cancer
circRNA_0084043,Diabetic retinopathy
hsa_circ_0103552,Breast cancer
hsa_circRNA_004183,Papillary thyroid microcarcinoma
hsa_circ_0001649/circSHPRH/hsa_circ_001599,Colorectal cancer
hsa_circ_0004383/cZNF292,Hypoxia
hsa_circ_0131457,Non-small cell lung cancer
circ-CBFB,Liver injury
hsa_circ_0065149,Gastric cancer
cTTN4,Heart failure
hsa_circ_0040809,Hypertension
hsa_circ_0045510,Hepatoblastoma
circ-0060428,Osteosarcoma
hsa_circ_0098964,coronary artery disease
hsa_circ_0001313,Cervical cancer
circABCB10,Hepatocellular carcinoma
circRNA_0000429,Non-small cell lung cancer
hsa_circ_0084927,Cervical cancer
hsa-circRNA_2149,Colorectal cancer
hsa_circ_0072568,Colorectal cancer
hsa_circ_0008267,Parathyroid adenoma
Circ-PRMT5,Breast cancer
hsa_circ_0057518,Osteosarcoma
hsa_circ_0001714,Cholangiocarcinoma
circVAPA,Non-small cell lung cancer
hsa_circ_0000792,Lung cancer
circ_0000231,Age-related cataract
circHIPK3,Osteosarcoma
circ_0014130,Gastric cancer
hsa_circ_0000847,Hepatocellular carcinoma
hsa_circ_0009128,Active pulmonary tuberculosis
hsa_circ_0078607,Ovarian cancer
hsa_circ_0001946,Pancreatic ductal adenocarcinoma
hsa_circ_0006935,Repeated implantation failure
hsa_circ_101407,rheumatoid arthritis
circ-100219,Breast cancer
hsa_circ_0004372,Thoracic aortic dissection
hsa_circ_0000284/circHIPK3,Nasopharyngeal carcinoma
hsa_circ_0002162,Tongue squamous cell carcinoma
hsa_circ_0049613,Hepatocellular carcinoma
hsa_circ_0003141,Hepatocellular carcinoma
hsa_circ_001988,Triple negative breast cancer
hsa_circ_0007766,Gastric cancer
hsa_circ_0003645,Atherosclerosis
hsa_circ_0008792,Osteosarcoma
hsa_circ_0033079,Glioma
hsa_circ_0001806,Hepatocellular carcinoma
hsa_circ_0074854,Colorectal cancer
circPRKCI,Glioma
hsa_circ_0004840,Osteosarcoma
circ-0004136,Acute myeloid leukemia
circRNAIFF01,PDLSC osteogenis
hsa_circ_0072088,Non-small cell lung cancer
hsa_circ_0039569,Endometrial cancer
hsa_circ_0058124,Thyroid cancer
hsa_circ_005239,Triple negative breast cancer
hsa_circRNA_100876,Osteosarcoma
hsa_circ_0006427,Primary great saphenous vein varicosities
circROBO2,Acute myocardial infarction
hsa_circ_0023115,Ovarian endometriosis
hsa_circ_0008558,Colorectal cancer
hsa_circ_0067934,Gastric cancer
hsa_circ_0001649/circSHPRH/hsa_circ_001599,Osteosarcoma
circ_ITCH,Lung cancer
hsa_circRNA_104395,Alzheimer's disease
CircNR3C2,Breast cancer
hsa_circ_0088196,Preeclampsia
hsa_circ_0008172,Osteoarthritis
circEIF3K,Salpingitis
hsa_circ_000881,Lung cancer
circ9119,Cervical cancer
